event_id,source_wav,source_sha256,take_id,string,pitch,midi_pitch,dynamic,articulation,status,final_center_s,final_earliest_s,final_latest_s,uncertainty_width_ms,pass1_center_s,pass1_earliest_s,pass1_latest_s,pass2_center_s,pass2_earliest_s,pass2_latest_s,adjudication_item,final_provenance,decision_detail,reason,repetition,reference_class
GAL09_20260914_S1_A_MF_R01,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0029 [2026-09-14 171327].wav,62e17f5b05b8ea007cb1592fac3eb68bc72d27a476fb337f1e2aab9f2a28dfd5,20260914_0029,A,A1,33,mf,pizzicato,FINAL,5.280891156462585,5.279891156462585,5.281891156462585,2.0,5.280891156462585,5.279891156462585,5.281891156462585,,,,,NEW_PRIMARY_ONLY_COHORT_AUDITED,Current PI-authorized conditional construction; FINAL_REFERENCE_RULE.json recorded before Pass2 comparison,No adjudication trigger; source coordinates restored from native crop offsets,1,NEW_PRIMARY_ONLY_COHORT_AUDITED
GAL09_20260914_S1_A_MF_R02,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0029 [2026-09-14 171327].wav,62e17f5b05b8ea007cb1592fac3eb68bc72d27a476fb337f1e2aab9f2a28dfd5,20260914_0029,A,A1,33,mf,PI_DOCUMENTED_PIZZICATO,FINAL,21.48797505668934240362811792,21.48689342403628117913832200,21.48905668934240362811791383,2.16326530612244897959183000,21.48789342403628117913832200,21.48689342403628117913832200,21.48889342403628117913832200,21.48805668934240362811791383,21.48705668934240362811791383,21.48905668934240362811791383,,PI_AUTHORIZED_TWO_PASS_MIDPOINT_WITH_OUTER_ENVELOPE,prospective fixed neutral rule; not sub-ms human accuracy,PI authorized rule for remaining 27 high-repeatability events,2,EXISTING_GT36_UNCHANGED
GAL09_20260914_S1_A_MF_R03,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0029 [2026-09-14 171327].wav,62e17f5b05b8ea007cb1592fac3eb68bc72d27a476fb337f1e2aab9f2a28dfd5,20260914_0029,A,A1,33,mf,pizzicato,FINAL,37.25459750566893,37.253571428571426,37.25562358276644,2.052154195011338,37.25462358276644,37.25362358276644,37.25562358276644,37.25457142857143,37.253571428571426,37.25557142857143,,NEW_TWO_PASS_MIDPOINT_OUTER_ENVELOPE,Current PI-authorized conditional construction; FINAL_REFERENCE_RULE.json recorded before Pass2 comparison,No adjudication trigger; source coordinates restored from native crop offsets,3,NEW_TWO_PASS_MIDPOINT_OUTER_ENVELOPE
GAL09_20260914_S1_A_MF_R04,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0029 [2026-09-14 171327].wav,62e17f5b05b8ea007cb1592fac3eb68bc72d27a476fb337f1e2aab9f2a28dfd5,20260914_0029,A,A1,33,mf,pizzicato,FINAL,52.29025170068027,52.28907709750567,52.29142630385488,2.3492063492063493,52.29042630385487,52.289426303854874,52.29142630385488,52.290077097505666,52.28907709750567,52.29107709750567,,NEW_TWO_PASS_MIDPOINT_OUTER_ENVELOPE,Current PI-authorized conditional construction; FINAL_REFERENCE_RULE.json recorded before Pass2 comparison,No adjudication trigger; source coordinates restored from native crop offsets,4,NEW_TWO_PASS_MIDPOINT_OUTER_ENVELOPE
GAL09_20260914_S1_A_MF_R05,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0029 [2026-09-14 171327].wav,62e17f5b05b8ea007cb1592fac3eb68bc72d27a476fb337f1e2aab9f2a28dfd5,20260914_0029,A,A1,33,mf,PI_DOCUMENTED_PIZZICATO,FINAL,69.14413832199546485260770975,69.14310657596371882086167800,69.14617006802721088435374150,3.06349206349206349206350000,69.14417006802721088435374150,69.14317006802721088435374150,69.14617006802721088435374150,69.14410657596371882086167800,69.14310657596371882086167800,69.14510657596371882086167800,,PI_AUTHORIZED_TWO_PASS_MIDPOINT_WITH_OUTER_ENVELOPE,prospective fixed neutral rule; not sub-ms human accuracy,PI authorized rule for remaining 27 high-repeatability events,5,EXISTING_GT36_UNCHANGED
GAL09_20260914_S1_A_MF_R06,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0029 [2026-09-14 171327].wav,62e17f5b05b8ea007cb1592fac3eb68bc72d27a476fb337f1e2aab9f2a28dfd5,20260914_0029,A,A1,33,mf,pizzicato,FINAL,87.08956235827664,87.08856235827665,87.09056235827664,2.0,87.08956235827664,87.08856235827665,87.09056235827664,,,,,NEW_PRIMARY_ONLY_COHORT_AUDITED,Current PI-authorized conditional construction; FINAL_REFERENCE_RULE.json recorded before Pass2 comparison,No adjudication trigger; source coordinates restored from native crop offsets,6,NEW_PRIMARY_ONLY_COHORT_AUDITED
GAL09_20260914_S1_A_MF_R07,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0029 [2026-09-14 171327].wav,62e17f5b05b8ea007cb1592fac3eb68bc72d27a476fb337f1e2aab9f2a28dfd5,20260914_0029,A,A1,33,mf,pizzicato,FINAL,103.8761814058957,103.87518140589569,103.8771814058957,2.0,103.8761814058957,103.87518140589569,103.8771814058957,,,,,NEW_PRIMARY_ONLY_COHORT_AUDITED,Current PI-authorized conditional construction; FINAL_REFERENCE_RULE.json recorded before Pass2 comparison,No adjudication trigger; source coordinates restored from native crop offsets,7,NEW_PRIMARY_ONLY_COHORT_AUDITED
GAL09_20260914_S1_A_MF_R08,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0029 [2026-09-14 171327].wav,62e17f5b05b8ea007cb1592fac3eb68bc72d27a476fb337f1e2aab9f2a28dfd5,20260914_0029,A,A1,33,mf,PI_DOCUMENTED_PIZZICATO,FINAL,118.7730589569160997732426304,118.7719342403628117913832200,118.7741836734693877551020408,2.2494331065759637188208000,118.7731836734693877551020408,118.7721836734693877551020408,118.7741836734693877551020408,118.7729342403628117913832200,118.7719342403628117913832200,118.7739342403628117913832200,,PI_AUTHORIZED_TWO_PASS_MIDPOINT_WITH_OUTER_ENVELOPE,prospective fixed neutral rule; not sub-ms human accuracy,PI authorized rule for remaining 27 high-repeatability events,8,EXISTING_GT36_UNCHANGED
GAL09_20260914_S1_A_MF_R09,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0029 [2026-09-14 171327].wav,62e17f5b05b8ea007cb1592fac3eb68bc72d27a476fb337f1e2aab9f2a28dfd5,20260914_0029,A,A1,33,mf,pizzicato,FINAL,133.66902040816328,133.66802040816327,133.67002040816325,2.0,133.66902040816328,133.66802040816327,133.67002040816325,,,,,NEW_PRIMARY_ONLY_COHORT_AUDITED,Current PI-authorized conditional construction; FINAL_REFERENCE_RULE.json recorded before Pass2 comparison,No adjudication trigger; source coordinates restored from native crop offsets,9,NEW_PRIMARY_ONLY_COHORT_AUDITED
GAL09_20260914_S1_A_MF_R10,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0029 [2026-09-14 171327].wav,62e17f5b05b8ea007cb1592fac3eb68bc72d27a476fb337f1e2aab9f2a28dfd5,20260914_0029,A,A1,33,mf,pizzicato,FINAL,148.32748526077097,148.32648526077097,148.32848526077098,2.0,148.32748526077097,148.32648526077097,148.32848526077098,,,,,NEW_PRIMARY_ONLY_COHORT_AUDITED,Current PI-authorized conditional construction; FINAL_REFERENCE_RULE.json recorded before Pass2 comparison,No adjudication trigger; source coordinates restored from native crop offsets,10,NEW_PRIMARY_ONLY_COHORT_AUDITED
GAL09_20260914_S1_D_MF_R01,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0030 [2026-09-14 171340].wav,35749ba227176914306bdef7a08784f50878c678367bcf40809af06159e35cfb,20260914_0030,D,D2,38,mf,pizzicato,FINAL,5.787151927437642,5.786151927437642,5.788151927437641,2.0,5.787151927437642,5.786151927437642,5.788151927437641,,,,,NEW_PRIMARY_ONLY_COHORT_AUDITED,Current PI-authorized conditional construction; FINAL_REFERENCE_RULE.json recorded before Pass2 comparison,No adjudication trigger; source coordinates restored from native crop offsets,1,NEW_PRIMARY_ONLY_COHORT_AUDITED
GAL09_20260914_S1_D_MF_R02,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0030 [2026-09-14 171340].wav,35749ba227176914306bdef7a08784f50878c678367bcf40809af06159e35cfb,20260914_0030,D,D2,38,mf,PI_DOCUMENTED_PIZZICATO,FINAL,21.94481746031746031746031746,21.94358730158730158730158730,21.94658730158730158730158730,3.00000000000000000000000000,21.94458730158730158730158730,21.94358730158730158730158730,21.94658730158730158730158730,21.94504761904761904761904762,21.94404761904761904761904762,21.94604761904761904761904762,,PI_AUTHORIZED_TWO_PASS_MIDPOINT_WITH_OUTER_ENVELOPE,prospective fixed neutral rule; not sub-ms human accuracy,PI authorized rule for remaining 27 high-repeatability events,2,EXISTING_GT36_UNCHANGED
GAL09_20260914_S1_D_MF_R03,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0030 [2026-09-14 171340].wav,35749ba227176914306bdef7a08784f50878c678367bcf40809af06159e35cfb,20260914_0030,D,D2,38,mf,pizzicato,FINAL,38.667258503401364,38.66625850340136,38.66825850340136,2.0,38.667258503401364,38.66625850340136,38.66825850340136,,,,,NEW_PRIMARY_ONLY_COHORT_AUDITED,Current PI-authorized conditional construction; FINAL_REFERENCE_RULE.json recorded before Pass2 comparison,No adjudication trigger; source coordinates restored from native crop offsets,3,NEW_PRIMARY_ONLY_COHORT_AUDITED
GAL09_20260914_S1_D_MF_R04,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0030 [2026-09-14 171340].wav,35749ba227176914306bdef7a08784f50878c678367bcf40809af06159e35cfb,20260914_0030,D,D2,38,mf,pizzicato,FINAL,55.830024943310654,55.82902494331066,55.83102494331066,2.0,55.830024943310654,55.82902494331066,55.83102494331066,,,,,NEW_PRIMARY_ONLY_COHORT_AUDITED,Current PI-authorized conditional construction; FINAL_REFERENCE_RULE.json recorded before Pass2 comparison,No adjudication trigger; source coordinates restored from native crop offsets,4,NEW_PRIMARY_ONLY_COHORT_AUDITED
GAL09_20260914_S1_D_MF_R05,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0030 [2026-09-14 171340].wav,35749ba227176914306bdef7a08784f50878c678367bcf40809af06159e35cfb,20260914_0030,D,D2,38,mf,PI_DOCUMENTED_PIZZICATO,FINAL,70.9464138321995464852607710,70.94519727891156462585034014,70.94763038548752834467120181,2.43310657596371882086167000,70.94619727891156462585034014,70.94519727891156462585034014,70.94719727891156462585034014,70.94663038548752834467120181,70.94563038548752834467120181,70.94763038548752834467120181,,PI_AUTHORIZED_TWO_PASS_MIDPOINT_WITH_OUTER_ENVELOPE,prospective fixed neutral rule; not sub-ms human accuracy,PI authorized rule for remaining 27 high-repeatability events,5,EXISTING_GT36_UNCHANGED
GAL09_20260914_S1_D_MF_R06,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0030 [2026-09-14 171340].wav,35749ba227176914306bdef7a08784f50878c678367bcf40809af06159e35cfb,20260914_0030,D,D2,38,mf,pizzicato,FINAL,87.33774603174604,87.33674603174603,87.33874603174603,2.0,87.33774603174604,87.33674603174603,87.33874603174603,,,,,NEW_PRIMARY_ONLY_COHORT_AUDITED,Current PI-authorized conditional construction; FINAL_REFERENCE_RULE.json recorded before Pass2 comparison,No adjudication trigger; source coordinates restored from native crop offsets,6,NEW_PRIMARY_ONLY_COHORT_AUDITED
GAL09_20260914_S1_D_MF_R07,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0030 [2026-09-14 171340].wav,35749ba227176914306bdef7a08784f50878c678367bcf40809af06159e35cfb,20260914_0030,D,D2,38,mf,pizzicato,FINAL,102.92785260770975,102.92685260770975,102.92885260770976,2.0,102.92785260770975,102.92685260770975,102.92885260770976,,,,,NEW_PRIMARY_ONLY_COHORT_AUDITED,Current PI-authorized conditional construction; FINAL_REFERENCE_RULE.json recorded before Pass2 comparison,No adjudication trigger; source coordinates restored from native crop offsets,7,NEW_PRIMARY_ONLY_COHORT_AUDITED
GAL09_20260914_S1_D_MF_R08,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0030 [2026-09-14 171340].wav,35749ba227176914306bdef7a08784f50878c678367bcf40809af06159e35cfb,20260914_0030,D,D2,38,mf,PI_DOCUMENTED_PIZZICATO,FINAL,117.1668514739229024943310658,117.1657256235827664399092971,117.1679773242630385487528345,2.2517006802721088435374000,117.1667256235827664399092971,117.1657256235827664399092971,117.1677256235827664399092971,117.1669773242630385487528345,117.1659773242630385487528345,117.1679773242630385487528345,,PI_AUTHORIZED_TWO_PASS_MIDPOINT_WITH_OUTER_ENVELOPE,prospective fixed neutral rule; not sub-ms human accuracy,PI authorized rule for remaining 27 high-repeatability events,8,EXISTING_GT36_UNCHANGED
GAL09_20260914_S1_D_MF_R09,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0030 [2026-09-14 171340].wav,35749ba227176914306bdef7a08784f50878c678367bcf40809af06159e35cfb,20260914_0030,D,D2,38,mf,pizzicato,FINAL,134.1783253968254,134.1771224489796,134.1795283446712,2.4058956916099774,134.1785283446712,134.1775283446712,134.1795283446712,134.1781224489796,134.1771224489796,134.1791224489796,,NEW_TWO_PASS_MIDPOINT_OUTER_ENVELOPE,Current PI-authorized conditional construction; FINAL_REFERENCE_RULE.json recorded before Pass2 comparison,No adjudication trigger; source coordinates restored from native crop offsets,9,NEW_TWO_PASS_MIDPOINT_OUTER_ENVELOPE
GAL09_20260914_S1_D_MF_R10,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0030 [2026-09-14 171340].wav,35749ba227176914306bdef7a08784f50878c678367bcf40809af06159e35cfb,20260914_0030,D,D2,38,mf,pizzicato,FINAL,152.33292176870748,152.33179818594104,152.33404535147392,2.247165532879819,152.3330453514739,152.33204535147394,152.33404535147392,152.33279818594104,152.33179818594104,152.33379818594105,,NEW_TWO_PASS_MIDPOINT_OUTER_ENVELOPE,Current PI-authorized conditional construction; FINAL_REFERENCE_RULE.json recorded before Pass2 comparison,No adjudication trigger; source coordinates restored from native crop offsets,10,NEW_TWO_PASS_MIDPOINT_OUTER_ENVELOPE
GAL09_20260914_S1_G_MF_R01,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0031 [2026-09-14 171635].wav,6dc976e30bb436a1eadc9f9c97eeeb8d4bf57023fbcf95d06b9dedc300d3e39e,20260914_0031,G,G2,43,mf,pizzicato,FINAL,6.0779750566893425,6.076975056689342,6.078975056689343,2.0,6.0779750566893425,6.076975056689342,6.078975056689343,,,,,NEW_PRIMARY_ONLY_COHORT_AUDITED,Current PI-authorized conditional construction; FINAL_REFERENCE_RULE.json recorded before Pass2 comparison,No adjudication trigger; source coordinates restored from native crop offsets,1,NEW_PRIMARY_ONLY_COHORT_AUDITED
GAL09_20260914_S1_G_MF_R02,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0031 [2026-09-14 171635].wav,6dc976e30bb436a1eadc9f9c97eeeb8d4bf57023fbcf95d06b9dedc300d3e39e,20260914_0031,G,G2,43,mf,PI_DOCUMENTED_PIZZICATO,FINAL,19.88004308390022675736961452,19.87888888888888888888888889,19.88188888888888888888888889,3.00000000000000000000000000,19.87988888888888888888888889,19.87888888888888888888888889,19.88188888888888888888888889,19.88019727891156462585034014,19.87919727891156462585034014,19.88119727891156462585034014,,PI_AUTHORIZED_TWO_PASS_MIDPOINT_WITH_OUTER_ENVELOPE,prospective fixed neutral rule; not sub-ms human accuracy,PI authorized rule for remaining 27 high-repeatability events,2,EXISTING_GT36_UNCHANGED
GAL09_20260914_S1_G_MF_R03,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0031 [2026-09-14 171635].wav,6dc976e30bb436a1eadc9f9c97eeeb8d4bf57023fbcf95d06b9dedc300d3e39e,20260914_0031,G,G2,43,mf,pizzicato,FINAL,35.11472789115646,35.113727891156465,35.11572789115646,2.0,35.11472789115646,35.113727891156465,35.11572789115646,,,,,NEW_PRIMARY_ONLY_COHORT_AUDITED,Current PI-authorized conditional construction; FINAL_REFERENCE_RULE.json recorded before Pass2 comparison,No adjudication trigger; source coordinates restored from native crop offsets,3,NEW_PRIMARY_ONLY_COHORT_AUDITED
