episode_id,route,frozen_flag,hypothesis_ids,frozen_member_ids,root_ids,frozen_root_onset_s,fundamental_midi,frozen_flags
HF019,SECURE_ROUTE,UNFLAGGED,"[""BP_0031""]","[""BP_0031""]","[""BP_0031""]",54.40921723356009,44,[]
HF020,SECURE_ROUTE,UNFLAGGED,"[""BP_0032""]","[""BP_0032""]","[""BP_0032""]",54.88522630385488,43,[]
HF021,SECURE_ROUTE,UNFLAGGED,"[""BP_0033""]","[""BP_0033""]","[""BP_0033""]",55.188369614512474,41,[]
HF022,SECURE_ROUTE,UNFLAGGED,"[""BP_0034""]","[""BP_0034""]","[""BP_0034""]",55.49022902494331,35,[]
HF023,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0035"", ""BP_0036""]","[""BP_0035"", ""BP_0036""]","[""BP_0035""]",55.87335827664399,34,"[""HARMONIC_VS_NEW_HIGHER_FUNDAMENTAL""]"
HF024,SECURE_ROUTE,UNFLAGGED,"[""BP_0037""]","[""BP_0037""]","[""BP_0037""]",56.29131746031746,44,[]
HF025,SECURE_ROUTE,UNFLAGGED,"[""BP_0038""]","[""BP_0038""]","[""BP_0038""]",56.65122675736961,43,[]
HF026,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0039""]","[""BP_0039""]","[""BP_0039""]",56.95437006802721,47,"[""OVERLAPPING_FUNDAMENTAL_HYPOTHESES""]"
HF027,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0040""]","[""BP_0040""]","[""BP_0040""]",57.03563990929705,35,"[""OVERLAPPING_FUNDAMENTAL_HYPOTHESES""]"
HF028,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0041""]","[""BP_0041""]","[""BP_0041""]",57.314279365079365,48,"[""OVERLAPPING_FUNDAMENTAL_HYPOTHESES""]"
HF029,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0042"", ""BP_0043""]","[""BP_0042"", ""BP_0043""]","[""BP_0042""]",57.34910929705215,36,"[""HARMONIC_VS_NEW_HIGHER_FUNDAMENTAL"", ""OVERLAPPING_FUNDAMENTAL_HYPOTHESES""]"
HF030,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0044"", ""BP_0045"", ""BP_0046"", ""BP_0047""]","[""BP_0044"", ""BP_0045"", ""BP_0046"", ""BP_0047""]","[""BP_0044"", ""BP_0046""]",57.56969886621315,28,"[""FRAGMENT_OR_REARTICULATION"", ""HARMONIC_VS_NEW_HIGHER_FUNDAMENTAL"", ""OVERLAPPING_FUNDAMENTAL_HYPOTHESES""]"
HF031,SECURE_ROUTE,UNFLAGGED,"[""BP_0048""]","[""BP_0048""]","[""BP_0048""]",58.12697777777778,29,[]
HF032,SECURE_ROUTE,UNFLAGGED,"[""BP_0049""]","[""BP_0049""]","[""BP_0049""]",58.44044716553288,33,[]
HF033,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0050""]","[""BP_0050""]","[""BP_0050""]",58.846796371882085,46,"[""OVERLAPPING_FUNDAMENTAL_HYPOTHESES""]"
HF034,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0051"", ""BP_0052""]","[""BP_0051"", ""BP_0052""]","[""BP_0051""]",58.88162630385487,34,"[""HARMONIC_VS_NEW_HIGHER_FUNDAMENTAL"", ""OVERLAPPING_FUNDAMENTAL_HYPOTHESES""]"
HF035,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0053"", ""BP_0054""]","[""BP_0053"", ""BP_0054""]","[""BP_0053"", ""BP_0054""]",59.41696916099773,39,"[""FRAGMENT_OR_REARTICULATION""]"
HF036,SECURE_ROUTE,UNFLAGGED,"[""BP_0055""]","[""BP_0055""]","[""BP_0055""]",59.927808163265304,34,[]
HF037,SECURE_ROUTE,UNFLAGGED,"[""BP_0056""]","[""BP_0056""]","[""BP_0056""]",60.21805759637188,41,[]
HF038,SECURE_ROUTE,UNFLAGGED,"[""BP_0057""]","[""BP_0057""]","[""BP_0057""]",60.67084671201814,42,[]
HF039,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0058"", ""BP_0059""]","[""BP_0058"", ""BP_0059""]","[""BP_0058"", ""BP_0059""]",60.91594013605442,43,"[""FRAGMENT_OR_REARTICULATION""]"
HF040,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0060"", ""BP_0061""]","[""BP_0060"", ""BP_0061""]","[""BP_0060"", ""BP_0061""]",61.33389931972789,47,"[""FRAGMENT_OR_REARTICULATION""]"
HF041,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0062"", ""BP_0063""]","[""BP_0062"", ""BP_0063""]","[""BP_0062"", ""BP_0063""]",61.70541859410431,48,"[""FRAGMENT_OR_REARTICULATION""]"
HF042,SECURE_ROUTE,UNFLAGGED,"[""BP_0064""]","[""BP_0064""]","[""BP_0064""]",62.181427664399095,52,[]
HF043,SECURE_ROUTE,UNFLAGGED,"[""BP_0065""]","[""BP_0065""]","[""BP_0065""]",62.92575011337868,52,[]
HF044,SECURE_ROUTE,UNFLAGGED,"[""BP_0066""]","[""BP_0066""]","[""BP_0066""]",63.18116961451247,53,[]
HF045,SECURE_ROUTE,UNFLAGGED,"[""BP_0067""]","[""BP_0067""]","[""BP_0067""]",63.90098820861678,57,[]
HF046,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0069"", ""BP_0068""]","[""BP_0069"", ""BP_0068""]","[""BP_0069""]",64.29572743764172,43,"[""HARMONIC_VS_NEW_HIGHER_FUNDAMENTAL""]"
HF047,SECURE_ROUTE,UNFLAGGED,"[""BP_0070""]","[""BP_0070""]","[""BP_0070""]",64.64402675736962,53,[]
HF048,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0071"", ""BP_0072""]","[""BP_0071"", ""BP_0072""]","[""BP_0071"", ""BP_0072""]",64.97039002267573,47,"[""FRAGMENT_OR_REARTICULATION""]"
HF049,SECURE_ROUTE,UNFLAGGED,"[""BP_0073""]","[""BP_0073""]","[""BP_0073""]",65.423179138322,46,[]
HF050,SECURE_ROUTE,UNFLAGGED,"[""BP_0074""]","[""BP_0074""]","[""BP_0074""]",66.06172789115647,50,[]
HF051,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0075""]","[""BP_0075""]","[""BP_0075""]",66.42163718820862,46,"[""OVERLAPPING_FUNDAMENTAL_HYPOTHESES""]"
HF052,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0076"", ""BP_0077"", ""BP_0078""]","[""BP_0076"", ""BP_0077"", ""BP_0078""]","[""BP_0076"", ""BP_0078""]",66.66544671201814,38,"[""FRAGMENT_OR_REARTICULATION"", ""HARMONIC_VS_NEW_HIGHER_FUNDAMENTAL"", ""OVERLAPPING_FUNDAMENTAL_HYPOTHESES""]"
HF053,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0079"", ""BP_0080""]","[""BP_0079"", ""BP_0080""]","[""BP_0079"", ""BP_0080""]",66.96859002267574,43,"[""FRAGMENT_OR_REARTICULATION"", ""OVERLAPPING_FUNDAMENTAL_HYPOTHESES""]"
HF054,SECURE_ROUTE,UNFLAGGED,"[""BP_0081""]","[""BP_0081""]","[""BP_0081""]",67.47942902494331,41,[]
HF055,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0082"", ""BP_0083"", ""BP_0084""]","[""BP_0082"", ""BP_0083"", ""BP_0084""]","[""BP_0082"", ""BP_0084""]",67.80450839002268,35,"[""FRAGMENT_OR_REARTICULATION"", ""HARMONIC_VS_NEW_HIGHER_FUNDAMENTAL""]"
HF056,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0085"", ""BP_0086"", ""BP_0087""]","[""BP_0085"", ""BP_0086"", ""BP_0087""]","[""BP_0085"", ""BP_0087""]",68.16441768707483,34,"[""FRAGMENT_OR_REARTICULATION"", ""HARMONIC_VS_NEW_HIGHER_FUNDAMENTAL"", ""OVERLAPPING_FUNDAMENTAL_HYPOTHESES""]"
HF057,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0088"", ""BP_0090"", ""BP_0089""]","[""BP_0088"", ""BP_0090"", ""BP_0089""]","[""BP_0088"", ""BP_0090""]",68.50110702947846,36,"[""FRAGMENT_OR_REARTICULATION"", ""HARMONIC_VS_NEW_HIGHER_FUNDAMENTAL"", ""OVERLAPPING_FUNDAMENTAL_HYPOTHESES""]"
HF058,SECURE_ROUTE,UNFLAGGED,"[""BP_0091""]","[""BP_0091""]","[""BP_0091""]",68.94357006802721,37,[]
HF059,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0093"", ""BP_0092""]","[""BP_0093"", ""BP_0092""]","[""BP_0093""]",69.28025941043084,38,"[""HARMONIC_VS_NEW_HIGHER_FUNDAMENTAL""]"
HF060,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0094"", ""BP_0095""]","[""BP_0094"", ""BP_0095""]","[""BP_0094"", ""BP_0095""]",69.54728888888889,39,"[""FRAGMENT_OR_REARTICULATION"", ""OVERLAPPING_FUNDAMENTAL_HYPOTHESES""]"
HF061,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0096"", ""BP_0097""]","[""BP_0096"", ""BP_0097""]","[""BP_0096"", ""BP_0097""]",70.01168798185941,46,"[""FRAGMENT_OR_REARTICULATION"", ""OVERLAPPING_FUNDAMENTAL_HYPOTHESES""]"
HF062,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0098"", ""BP_0099""]","[""BP_0098"", ""BP_0099""]","[""BP_0098"", ""BP_0099""]",70.29032743764172,43,"[""FRAGMENT_OR_REARTICULATION"", ""OVERLAPPING_FUNDAMENTAL_HYPOTHESES""]"
HF063,SECURE_ROUTE,UNFLAGGED,"[""BP_0100""]","[""BP_0100""]","[""BP_0100""]",70.71989659863945,39,[]
